Folder Name,Solved Times,Iterations
additive_asm_jacobi,"0.17703509330749512, 0.8890249729156494","245, 642"
additive_asm_none,"0.15378069877624512, 0.7462663650512695","245, 642"
additive_bjacobi_jacobi,"0.15090441703796387, 0.767003059387207","245, 642"
additive_bjacobi_none,"0.13906311988830566, 0.6858844757080078","245, 642"
additive_cholesky_jacobi,"0.14994096755981445, 0.8172714710235596, 13.241544246673584","146, 250, 829"
additive_cholesky_none,"0.13705992698669434, 0.7854797840118408, 13.367293119430542","146, 250, 829"
additive_eisenstat_jacobi,"0.11591219902038574, 0.5715529918670654","202, 531"
additive_eisenstat_none,"0.08992338180541992, 0.5724530220031738","202, 531"
additive_gamg_jacobi,"0.24877357482910156, 0.792041540145874, 6.3544020652771","143, 285, 640"
additive_gamg_none,"0.21527481079101562, 0.7601685523986816, 6.007386207580566","143, 285, 640"
additive_hypre_jacobi,"0.2767624855041504, 0.8204505443572998, 8.173350811004639","187, 256, 680"
additive_hypre_none,"0.227614164352417, 0.856924295425415, 8.200462818145752","187, 256, 680"
additive_icc_jacobi,"0.13124513626098633, 0.644087553024292","247, 515"
additive_icc_none,"0.12893915176391602, 0.6581223011016846","247, 515"
additive_ilu_jacobi,"0.1329667568206787, 0.6567118167877197","245, 642"
additive_ilu_none,"0.12183547019958496, 0.6978499889373779","245, 642"
additive_sor_jacobi,"0.08865237236022949, 0.6044392585754395","202, 531"
additive_sor_none,"0.11181759834289551, 0.47740817070007324","202, 531"
fgmres_schur_lower_hypre_jacobi,"0.23455166816711426, 0.4701242446899414, 3.2139010429382324","97, 211, 482"
gmres_schur_lower_hypre_jacobi,"0.1871483325958252, 0.3271603584289551, 1.803196668624878, 22.96354341506958","85, 134, 237, 776"
multiplicative_asm_jacobi,"0.15268850326538086, 0.7497589588165283","243, 629"
multiplicative_asm_none,"0.14403080940246582, 0.7757232189178467","243, 629"
multiplicative_bjacobi_jacobi,"0.14085173606872559, 0.7314040660858154","243, 629"
