Folder Name,Solved Time 1,Solved Time 2,Solved Time 3,Solved Time 4,Iteration 1,Iteration 2,Iteration 3,Iteration 4
multiplicative\_asm\_jacobi,0.153,0.750,-,-,243,629,-,-
multiplicative\_asm\_none,0.144,0.776,-,-,243,629,-,-
multiplicative\_bjacobi\_jacobi,0.141,0.731,-,-,243,629,-,-
multiplicative\_bjacobi\_none,0.139,0.647,-,-,243,629,-,-
multiplicative\_cholesky\_jacobi,0.147,0.859,13.723,-,140,264,848,-
multiplicative\_cholesky\_none,0.133,0.875,13.759,-,140,264,848,-
multiplicative\_eisenstat\_jacobi,0.121,0.612,-,-,208,529,-,-
multiplicative\_eisenstat\_none,0.106,0.631,-,-,208,529,-,-
multiplicative\_gamg\_jacobi,0.253,0.732,6.308,-,142,273,642,-
multiplicative\_gamg\_none,0.177,0.734,5.992,-,142,273,642,-
multiplicative\_hypre\_jacobi,0.185,0.837,7.851,-,141,265,616,-
multiplicative\_hypre\_none,0.195,0.854,7.529,-,141,265,616,-
multiplicative\_icc\_jacobi,0.143,0.771,-,-,248,634,-,-
multiplicative\_icc\_none,0.157,0.783,-,-,248,634,-,-
multiplicative\_ilu\_jacobi,0.138,0.786,-,-,243,629,-,-
multiplicative\_ilu\_none,0.141,0.714,-,-,243,629,-,-
multiplicative\_ksp\_jacobi,0.728,-,-,-,201,-,-,-
multiplicative\_ksp\_none,0.695,-,-,-,201,-,-,-
multiplicative\_sor\_jacobi,0.113,0.509,-,-,214,532,-,-
multiplicative\_sor\_none,0.111,0.625,-,-,214,532,-,-
symmetric\_multiplicative\_asm\_jacobi,0.220,-,-,-,293,-,-,-
symmetric\_multiplicative\_asm\_none,0.200,-,-,-,293,-,-,-
symmetric\_multiplicative\_bjacobi\_jacobi,0.213,-,-,-,293,-,-,-
symmetric\_multiplicative\_bjacobi\_none,0.176,-,-,-,293,-,-,-
symmetric\_multiplicative\_cholesky\_jacobi,0.158,1.199,15.770,-,117,224,440,-
symmetric\_multiplicative\_cholesky\_none,0.170,1.117,13.251,-,117,224,440,-
symmetric\_multiplicative\_eisenstat\_jacobi,0.104,0.697,-,-,164,460,-,-
symmetric\_multiplicative\_eisenstat\_none,0.116,0.667,-,-,164,460,-,-
symmetric\_multiplicative\_gamg\_jacobi,0.259,1.065,10.478,-,134,246,624,-
symmetric\_multiplicative\_gamg\_none,0.250,0.983,9.905,-,134,246,624,-
symmetric\_multiplicative\_hypre\_jacobi,0.250,1.348,12.891,-,140,257,581,-
symmetric\_multiplicative\_hypre\_none,0.267,1.435,12.679,-,140,257,581,-
symmetric\_multiplicative\_icc\_jacobi,0.226,-,-,-,323,-,-,-
symmetric\_multiplicative\_icc\_none,0.223,-,-,-,323,-,-,-
symmetric\_multiplicative\_ilu\_jacobi,0.195,-,-,-,293,-,-,-
symmetric\_multiplicative\_ilu\_none,0.187,-,-,-,293,-,-,-
symmetric\_multiplicative\_sor\_jacobi,0.115,0.681,-,-,163,459,-,-
symmetric\_multiplicative\_sor\_none,0.119,0.689,-,-,163,459,-,-
