Folder Name,Solved Time 1,Solved Time 2,Solved Time 3,Solved Time 4,Iteration 1,Iteration 2,Iteration 3,Iteration 4
fgmres\_schur\_lower\_hypre\_jacobi,0.235,0.470,3.214,-,97,211,482,-
gmres\_schur\_lower\_hypre\_jacobi,0.187,0.327,1.803,22.964,85,134,237,776
schur\_diag\_asm\_jacobi,0.476,-,-,-,624,-,-,-
schur\_diag\_asm\_none,0.462,-,-,-,683,-,-,-
schur\_diag\_bjacobi\_jacobi,0.438,-,-,-,624,-,-,-
schur\_diag\_bjacobi\_none,0.560,-,-,-,683,-,-,-
schur\_diag\_cholesky\_jacobi,0.214,1.966,-,-,201,726,-,-
schur\_diag\_cholesky\_none,0.243,1.167,-,-,186,337,-,-
schur\_diag\_eisenstat\_jacobi,0.586,-,-,-,934,-,-,-
schur\_diag\_eisenstat\_none,0.451,-,-,-,801,-,-,-
schur\_diag\_gamg\_jacobi,0.629,-,-,-,394,-,-,-
schur\_diag\_gamg\_none,0.538,2.015,-,-,281,810,-,-
schur\_diag\_hypre\_jacobi,0.553,-,-,-,325,-,-,-
schur\_diag\_hypre\_none,0.451,-,-,-,312,-,-,-
schur\_diag\_icc\_jacobi,0.555,-,-,-,665,-,-,-
schur\_diag\_icc\_none,0.455,-,-,-,664,-,-,-
schur\_diag\_ilu\_jacobi,0.490,-,-,-,624,-,-,-
schur\_diag\_ilu\_none,0.433,-,-,-,683,-,-,-
schur\_diag\_sor\_jacobi,0.590,-,-,-,989,-,-,-
schur\_diag\_sor\_none,0.396,-,-,-,733,-,-,-
schur\_full\_asm\_jacobi,0.271,0.460,3.028,-,86,238,658,-
schur\_full\_asm\_none,0.314,0.904,-,-,234,555,-,-
schur\_full\_bjacobi\_jacobi,0.189,0.469,2.751,-,86,238,658,-
schur\_full\_bjacobi\_none,0.344,1.269,-,-,234,555,-,-
schur\_full\_cholesky\_jacobi,0.180,0.624,9.547,-,51,96,304,-
schur\_full\_cholesky\_none,0.315,1.301,23.435,-,142,232,821,-
schur\_full\_eisenstat\_jacobi,0.184,0.524,-,-,114,312,-,-
schur\_full\_eisenstat\_none,0.198,0.876,-,-,203,530,-,-
schur\_full\_gamg\_jacobi,0.495,1.050,5.728,54.983,53,118,281,663
schur\_full\_gamg\_none,0.455,1.348,10.294,-,148,267,648,-
schur\_full\_hypre\_jacobi,0.217,0.600,3.680,39.679,49,91,167,387
schur\_full\_hypre\_none,0.372,1.521,12.806,-,144,264,595,-
schur\_full\_icc\_jacobi,0.167,0.499,3.362,-,87,236,659,-
schur\_full\_icc\_none,0.350,0.959,-,-,236,558,-,-
schur\_full\_ilu\_jacobi,0.195,0.696,3.416,-,86,238,658,-
schur\_full\_ilu\_none,0.261,0.942,-,-,234,555,-,-
schur\_full\_ksp\_jacobi,0.473,-,-,-,59,-,-,-
schur\_full\_lu\_jacobi,0.141,-,-,-,82,-,-,-
schur\_full\_sor\_jacobi,0.138,0.546,5.294,-,114,321,924,-
schur\_full\_sor\_none,0.194,0.807,-,-,204,529,-,-
schur\_lower\_asm\_jacobi,0.177,0.466,2.899,-,86,248,806,-
schur\_lower\_asm\_none,0.290,1.078,-,-,243,629,-,-
schur\_lower\_bjacobi\_jacobi,0.181,0.448,2.728,-,86,248,806,-
schur\_lower\_bjacobi\_none,0.307,0.795,-,-,243,629,-,-
schur\_lower\_cholesky\_jacobi,0.130,0.544,7.047,98.450,50,96,314,746
schur\_lower\_cholesky\_none,0.263,0.954,13.923,-,140,264,848,-
schur\_lower\_eisenstat\_jacobi,0.170,0.499,-,-,129,388,-,-
schur\_lower\_eisenstat\_none,0.185,0.676,-,-,208,529,-,-
schur\_lower\_gamg\_jacobi,0.293,0.553,2.983,22.075,57,111,201,470
schur\_lower\_gamg\_none,0.418,1.243,6.655,-,142,273,642,-
schur\_lower\_hypre\_jacobi,0.195,0.455,3.379,-,97,211,482,-
schur\_lower\_hypre\_none,0.294,0.940,7.627,-,141,265,616,-
schur\_lower\_icc\_jacobi,0.158,0.406,3.040,-,89,229,794,-
schur\_lower\_icc\_none,0.231,1.016,-,-,248,634,-,-
schur\_lower\_ilu\_jacobi,0.149,0.404,2.723,-,86,248,806,-
schur\_lower\_ilu\_none,0.260,0.784,-,-,243,629,-,-
schur\_lower\_ksp\_jacobi,0.329,3.333,-,-,58,137,-,-
schur\_lower\_ksp\_none,0.830,-,-,-,201,-,-,-
schur\_lower\_sor\_jacobi,0.152,0.565,-,-,130,378,-,-
schur\_lower\_sor\_none,0.164,0.648,-,-,214,532,-,-
schur\_upper\_asm\_jacobi,0.233,0.477,2.796,-,91,248,787,-
schur\_upper\_asm\_none,0.307,0.927,-,-,241,521,-,-
schur\_upper\_bjacobi\_jacobi,0.214,0.460,2.765,-,91,248,787,-
schur\_upper\_bjacobi\_none,0.290,0.765,-,-,241,521,-,-
schur\_upper\_cholesky\_jacobi,0.167,0.519,6.540,-,53,110,338,-
schur\_upper\_cholesky\_none,0.220,0.886,14.702,-,142,246,782,-
schur\_upper\_eisenstat\_jacobi,0.147,0.574,-,-,129,399,-,-
schur\_upper\_eisenstat\_none,0.215,0.593,-,-,204,530,-,-
schur\_upper\_gamg\_jacobi,0.432,0.926,3.360,34.992,54,123,284,751
schur\_upper\_gamg\_none,0.419,1.042,7.371,-,146,287,660,-
schur\_upper\_hypre\_jacobi,0.180,0.411,1.703,19.667,46,93,124,352
schur\_upper\_hypre\_none,0.321,0.936,7.449,-,179,264,598,-
schur\_upper\_icc\_jacobi,0.155,0.431,3.166,-,88,253,828,-
schur\_upper\_icc\_none,0.230,0.884,-,-,246,555,-,-
schur\_upper\_ilu\_jacobi,0.183,0.499,2.648,-,91,248,787,-
schur\_upper\_ilu\_none,0.262,0.712,-,-,241,521,-,-
schur\_upper\_ksp\_jacobi,0.587,-,-,-,96,-,-,-
schur\_upper\_sor\_jacobi,0.148,0.548,-,-,127,378,-,-
schur\_upper\_sor\_none,0.195,0.696,-,-,204,528,-,-
